,combination,driver,cost,unique_coverage,value,unique_courses
485,29,Mario (Tuxedo),2,12,0.16666666666666666,"{'3DS Shy Guy Bazaar T', 'N64 Choco Mountain R/T', 'RMX Mario Circuit 1R', 'N64 Royal Raceway R', 'N64 Royal Raceway T', 'DS Airship Fortress R/T', 'RMX Mario Circuit 1T', '3DS Mario Circuit R', 'RMX Rainbow Road 2T', 'SNES Mario Circuit 3R/T', 'N64 Choco Mountain T', '3DS Shy Guy Bazaar R'}"
477,29,Mario (Hakama),2,9,0.2222222222222222,"{'SNES Mario Circuit 1', 'SNES Mario Circuit 3R', 'SNES Rainbow Road T', 'SNES Ghost Valley 1T', 'DS Waluigi Pinball', ""GBA Bowser's Castle 1T"", 'DS Waluigi Pinball R', 'RMX Mario Circuit 1R/T', 'SNES Mario Circuit 2'}"
476,29,Toadette (Explorer),2,8,0.25,"{'Wii DK Summit', '3DS Daisy Hills', '3DS Toad Circuit', 'SNES Choco Island 2T', '3DS Rock Rock Mountain', '3DS Daisy Hills R', 'N64 Kalimari Desert R/T', 'RMX Vanilla Lake 1'}"
483,29,Baby Peach (Cherub),2,7,0.2857142857142857,"{'SNES Rainbow Road R/T', 'GCN Yoshi Circuit R/T', 'N64 Frappe Snowland R/T', 'SNES Donut Plains 1R', '3DS Mario Circuit', 'SNES Donut Plains 2R', 'DS DK Pass T'}"
487,29,Green Shy Guy,2,7,0.2857142857142857,"{'N64 Kalimari Desert', 'SNES Koopa Troopa Beach 2T', 'SNES Koopa Troopa Beach 2R', 'RMX Vanilla Lake 1R', 'MKT Ninja Hideaway R', 'GCN Yoshi Circuit R', 'Wii Maple Treeway R'}"
489,29,Fire Rosalina,2,7,0.2857142857142857,"{'SNES Ghost Valley 1R/T', ""GBA Bowser's Castle 2"", 'DS Airship Fortress T', 'MKT Ninja Hideaway', '3DS Rainbow Road', 'SNES Ghost Valley 1', 'GBA Cheep-Cheep Island'}"
491,29,Luigi (Classic),2,7,0.2857142857142857,"{'3DS Mario Circuit R/T', 'SNES Mario Circuit 2T', ""DS Luigi's Mansion R/T"", 'SNES Mario Circuit 2R', 'GBA Sunset Wilds', ""DS Luigi's Mansion R"", 'SNES Mario Circuit 3T'}"
478,29,Captain Toad,2,5,0.4,"{'SNES Koopa Troopa Beach 2', ""GBA Bowser's Castle 1R"", 'RMX Choco Island 2', 'N64 Kalimari Desert 2T', '3DS Cheep Cheep Lagoon R/T'}"
484,29,Funky Kong,2,5,0.4,"{'DS DK Pass', 'SNES Vanilla Lake 1T', ""GBA Bowser's Castle 2T"", 'GBA Cheep-Cheep Island R', '3DS Cheep Cheep Lagoon'}"
488,29,Builder Toad,2,5,0.4,"{'SNES Choco Island 2R/T', 'RMX Rainbow Road 1T', 'Wii DK Summit T', 'MKT Merry Mountain T', 'N64 Royal Raceway R/T'}"
482,29,Dry Bowser (Gold),2,4,0.5,"{""GBA Bowser's Castle 2R/T"", ""DS Luigi's Mansion T"", 'RMX Rainbow Road 1R', ""3DS Rosalina's Ice World T""}"
490,29,Pauline (Party Time),2,4,0.5,"{'3DS Neo Bowser City R/T', ""GBA Bowser's Castle 1R/T"", 'SNES Rainbow Road', 'DS DK Pass R'}"
480,29,Birdo (Black),2,3,0.6666666666666666,"{'DS DK Pass R/T', 'RMX Vanilla Lake 1T', 'SNES Donut Plains 2T'}"
486,29,Builder Toadette,2,3,0.6666666666666666,"{'RMX Choco Island 1R/T', '3DS Daisy Hills R/T', '3DS Daisy Hills T'}"
492,29,Mario (Chef),2,3,0.6666666666666666,"{""DS Luigi's Mansion"", 'SNES Mario Circuit 3', 'RMX Mario Circuit 1'}"
501,30,Shy Guy (Ninja),2,24,0.08333333333333333,"{'SNES Donut Plains 2T', 'DS Airship Fortress R', 'N64 Choco Mountain R', '3DS Shy Guy Bazaar T', ""GBA Bowser's Castle 1R"", 'Wii DK Summit T', 'N64 Kalimari Desert T', '3DS Shy Guy Bazaar R/T', 'MKT Ninja Hideaway R', '3DS Neo Bowser City T', 'Wii DK Summit R', '3DS Neo Bowser City R', 'SNES Ghost Valley 1R/T', ""GBA Bowser's Castle 2"", 'SNES Choco Island 2T', 'MKT Ninja Hideaway T', ""DS Luigi's Mansion"", 'N64 Frappe Snowland T', '3DS Shy Guy Bazaar R', 'RMX Choco Island 2T', ""GBA Bowser's Castle 1"", 'MKT Ninja Hideaway', 'GBA Sunset Wilds', 'RMX Vanilla Lake 1'}"
498,30,Pink Gold Peach,2,17,0.11764705882352941,"{'N64 Royal Raceway', 'SNES Rainbow Road R/T', 'N64 Choco Mountain', 'SNES Rainbow Road T', 'N64 Kalimari Desert 2R', 'GCN Yoshi Circuit R/T', 'N64 Royal Raceway R', 'N64 Royal Raceway T', 'RMX Choco Island 1', '3DS Rainbow Road R/T', 'RMX Choco Island 2R', '3DS Mario Circuit', ""DS Luigi's Mansion T"", 'SNES Mario Circuit 3T', '3DS Rainbow Road T', 'DS DK Pass T', 'DS Waluigi Pinball R/T'}"
506,30,Black Yoshi,2,10,0.2,"{'3DS Daisy Hills R/T', 'SNES Ghost Valley 1R', '3DS Daisy Hills', 'DS DK Pass R/T', '3DS Rock Rock Mountain T', '3DS Daisy Hills T', 'SNES Ghost Valley 1T', 'SNES Ghost Valley 1', 'RMX Mario Circuit 1R/T', 'N64 Choco Mountain T'}"
494,30,Baby Mario (Koala),2,9,0.2222222222222222,"{'N64 Koopa Troopa Beach R', 'GCN Dino Dino Jungle R', 'SNES Mario Circuit 1', ""3DS Rosalina's Ice World T"", 'Wii DK Summit', 'SNES Donut Plains 1T', 'GBA Cheep-Cheep Island', 'GBA Cheep-Cheep Island R', 'MKT Ninja Hideaway R/T'}"
496,30,Lakitu (Party Time),2,7,0.2857142857142857,"{'RMX Rainbow Road 1R', ""3DS Rosalina's Ice World"", 'MKT Merry Mountain T', 'RMX Rainbow Road 1T', ""GBA Bowser's Castle 2T"", 'RMX Rainbow Road 2', 'DS Airship Fortress R/T'}"
500,30,Baby Peach (Cherub),2,7,0.2857142857142857,"{'SNES Choco Island 1T', 'SNES Rainbow Road R', 'SNES Choco Island 1', 'SNES Mario Circuit 2R/T', 'SNES Donut Plains 1R', 'RMX Rainbow Road 2T', 'SNES Choco Island 1R'}"
503,30,Green Shy Guy,2,6,0.3333333333333333,"{'N64 Koopa Troopa Beach', 'SNES Donut Plains 1', 'RMX Vanilla Lake 1R', '3DS Shy Guy Bazaar', 'GCN Dino Dino Jungle T', 'Wii Maple Treeway R'}"
505,30,Daisy (Fairy),2,5,0.4,"{'N64 Koopa Troopa Beach R/T', 'SNES Choco Island 2R/T', 'Wii Maple Treeway', 'SNES Vanilla Lake 1', 'RMX Mario Circuit 1T'}"
495,30,Waluigi (Bus Driver),2,4,0.5,"{'DS Waluigi Pinball T', 'SNES Mario Circuit 1R/T', 'N64 Kalimari Desert R', '3DS Mario Circuit T'}"
497,30,Bowser Jr.,2,4,0.5,"{""GBA Bowser's Castle 2R/T"", 'N64 Kalimari Desert R/T', 'SNES Vanilla Lake 1T', ""GBA Bowser's Castle 1T""}"
499,30,Cat Toad,2,4,0.5,"{'GBA Sunset Wilds R/T', 'MKT Merry Mountain R', 'RMX Vanilla Lake 1T', 'RMX Rainbow Road 1R/T'}"
507,30,Pauline (Party Time),2,4,0.5,"{'3DS Neo Bowser City R/T', ""GBA Bowser's Castle 1R/T"", 'SNES Rainbow Road', 'DS DK Pass R'}"
508,30,White Yoshi,2,4,0.5,"{'N64 Frappe Snowland', 'SNES Mario Circuit 3R/T', 'N64 Royal Raceway R/T', 'DS DK Pass'}"
502,30,Mario (Happi),2,3,0.6666666666666666,"{'3DS Rock Rock Mountain R', '3DS Rock Rock Mountain', 'RMX Rainbow Road 1'}"
504,30,Mario (Swimwear),2,2,1.0,"{'DS Airship Fortress T', 'SNES Mario Circuit 1R'}"
509,30,Luigi (Classic),2,2,1.0,"{""DS Luigi's Mansion R"", 'Wii Maple Treeway T'}"
493,30,Captain Toad,2,1,2.0,{'N64 Kalimari Desert 2T'}
517,31,Shy Guy (Ninja),2,20,0.1,"{'SNES Donut Plains 2T', 'N64 Choco Mountain R', '3DS Shy Guy Bazaar T', ""GBA Bowser's Castle 1R"", 'Wii DK Summit T', 'N64 Kalimari Desert T', '3DS Shy Guy Bazaar R/T', 'Wii DK Summit R', '3DS Neo Bowser City T', 'SNES Ghost Valley 1R/T', ""GBA Bowser's Castle 2"", 'SNES Choco Island 2T', 'MKT Ninja Hideaway T', 'N64 Frappe Snowland T', '3DS Shy Guy Bazaar R', 'RMX Choco Island 2T', ""GBA Bowser's Castle 1"", 'MKT Ninja Hideaway', 'GBA Sunset Wilds', 'RMX Vanilla Lake 1'}"
512,31,Gold Koopa (Freerunning),2,15,0.13333333333333333,"{'N64 Koopa Troopa Beach R', 'GCN Dino Dino Jungle R', 'N64 Koopa Troopa Beach T', 'N64 Koopa Troopa Beach R/T', 'N64 Koopa Troopa Beach', 'GCN Dino Dino Jungle', '3DS Rainbow Road R/T', 'SNES Mario Circuit 1R/T', 'RMX Choco Island 2R', '3DS Mario Circuit T', '3DS Cheep Cheep Lagoon T', 'SNES Mario Circuit 2R/T', 'SNES Donut Plains 1T', '3DS Toad Circuit R/T', 'SNES Choco Island 1R'}"
513,31,King Boo (Gold),2,14,0.14285714285714285,"{'SNES Rainbow Road R/T', 'SNES Choco Island 2', 'SNES Rainbow Road T', 'MKT Merry Mountain R', 'N64 Kalimari Desert 2R', 'Wii Maple Treeway', 'DS Airship Fortress', 'SNES Vanilla Lake 1T', 'SNES Ghost Valley 1T', 'RMX Choco Island 1', 'N64 Kalimari Desert 2T', '3DS Rainbow Road', 'SNES Koopa Troopa Beach 2R', 'Wii Maple Treeway R'}"
523,31,Builder Luigi,2,9,0.2222222222222222,"{'DS Waluigi Pinball T', 'RMX Rainbow Road 1R/T', 'SNES Choco Island 1T', 'DS Airship Fortress T', ""DS Luigi's Mansion R/T"", 'RMX Mario Circuit 1T', 'SNES Mario Circuit 3R/T', 'GBA Sunset Wilds R/T', 'SNES Vanilla Lake 1R/T'}"
525,31,Black Yoshi,2,9,0.2222222222222222,"{'SNES Donut Plains 1R/T', '3DS Daisy Hills R/T', 'SNES Koopa Troopa Beach 2T', 'SNES Ghost Valley 1R', 'N64 Choco Mountain T', '3DS Rock Rock Mountain T', 'RMX Mario Circuit 1R/T', 'SNES Donut Plains 2R', 'GCN Yoshi Circuit R'}"
515,31,Lakitu (Party Time),2,7,0.2857142857142857,"{'N64 Kalimari Desert', 'SNES Mario Circuit 3R', 'RMX Rainbow Road 2R', 'DS Airship Fortress R/T', 'GCN Yoshi Circuit T', 'MKT Merry Mountain T', 'SNES Mario Circuit 3T'}"
522,31,Peach (Halloween),2,7,0.2857142857142857,"{'3DS Neo Bowser City R/T', 'N64 Royal Raceway T', 'SNES Mario Circuit 2T', 'N64 Frappe Snowland', ""DS Luigi's Mansion T"", 'N64 Royal Raceway R/T', 'MKT Merry Mountain'}"
510,31,Dixie Kong,2,6,0.3333333333333333,"{'RMX Choco Island 1R/T', 'RMX Choco Island 1R', 'SNES Choco Island 2R/T', 'SNES Choco Island 1', 'RMX Vanilla Lake 1R', '3DS Cheep Cheep Lagoon'}"
524,31,Metal Mario,2,6,0.3333333333333333,"{'SNES Rainbow Road R', 'RMX Mario Circuit 1', 'SNES Mario Circuit 2R', '3DS Rock Rock Mountain R', '3DS Shy Guy Bazaar', 'SNES Rainbow Road'}"
521,31,Wario (Hiker),2,5,0.4,"{'N64 Kalimari Desert R', 'RMX Mario Circuit 1R', 'DS DK Pass', '3DS Rock Rock Mountain', 'DS DK Pass R'}"
514,31,Birdo (Black),2,4,0.5,"{'SNES Donut Plains 2', 'DS Waluigi Pinball R/T', 'GBA Sunset Wilds R', 'SNES Choco Island 2R'}"
518,31,Bowser,2,4,0.5,"{'N64 Kalimari Desert R/T', '3DS Rainbow Road T', ""GBA Bowser's Castle 1T"", ""GBA Bowser's Castle 2R""}"
519,31,Peach (Vacation),2,4,0.5,"{'3DS Mario Circuit', 'SNES Mario Circuit 3', '3DS Mario Circuit R', 'SNES Mario Circuit 1R'}"
511,31,Baby Mario (Koala),2,3,0.6666666666666666,"{'SNES Mario Circuit 1', 'RMX Choco Island 2', 'SNES Mario Circuit 2'}"
526,31,Monty Mole,2,3,0.6666666666666666,"{'SNES Mario Circuit 1T', 'SNES Donut Plains 1R', 'SNES Koopa Troopa Beach 2'}"
516,31,Penguin Toad,2,2,1.0,"{'3DS Toad Circuit T', '3DS Mario Circuit R/T'}"
520,31,Bowser Jr. (Pirate),2,2,1.0,"{""GBA Bowser's Castle 1R/T"", 'RMX Rainbow Road 1'}"
534,32,Shy Guy (Ninja),2,23,0.08695652173913043,"{'SNES Donut Plains 2T', 'DS Airship Fortress R', 'N64 Choco Mountain R', '3DS Shy Guy Bazaar T', ""GBA Bowser's Castle 1R"", 'Wii DK Summit T', 'N64 Kalimari Desert T', '3DS Shy Guy Bazaar R/T', 'MKT Ninja Hideaway R', '3DS Neo Bowser City T', 'Wii DK Summit R', 'SNES Ghost Valley 1R/T', ""GBA Bowser's Castle 2"", 'SNES Choco Island 2T', 'MKT Ninja Hideaway T', ""DS Luigi's Mansion"", 'N64 Frappe Snowland T', '3DS Shy Guy Bazaar R', 'RMX Choco Island 2T', ""GBA Bowser's Castle 1"", 'MKT Ninja Hideaway', 'GBA Sunset Wilds', 'RMX Vanilla Lake 1'}"
528,32,Gold Koopa (Freerunning),2,15,0.13333333333333333,"{'N64 Koopa Troopa Beach R', 'GCN Dino Dino Jungle R', 'N64 Koopa Troopa Beach T', 'N64 Koopa Troopa Beach R/T', 'N64 Koopa Troopa Beach', 'GCN Dino Dino Jungle', '3DS Rainbow Road R/T', 'SNES Mario Circuit 1R/T', 'RMX Choco Island 2R', '3DS Mario Circuit T', '3DS Cheep Cheep Lagoon T', 'SNES Mario Circuit 2R/T', 'SNES Donut Plains 1T', '3DS Toad Circuit R/T', 'SNES Choco Island 1R'}"
539,32,Peach (Explorer),2,7,0.2857142857142857,"{'Wii DK Summit', 'N64 Kalimari Desert 2T', 'N64 Royal Raceway T', 'GCN Dino Dino Jungle R/T', 'GBA Cheep-Cheep Island', 'GBA Cheep-Cheep Island R', 'GCN Dino Dino Jungle T'}"
540,32,Black Yoshi,2,7,0.2857142857142857,"{'SNES Donut Plains 1R/T', 'GCN Yoshi Circuit', '3DS Daisy Hills R/T', '3DS Rock Rock Mountain T', 'SNES Ghost Valley 1T', 'SNES Ghost Valley 1', 'RMX Mario Circuit 1R/T'}"
529,32,Lakitu (Party Time),2,6,0.3333333333333333,"{'SNES Mario Circuit 3R', 'RMX Rainbow Road 2R', 'MKT Merry Mountain T', ""GBA Bowser's Castle 2T"", 'RMX Rainbow Road 2', 'DS Waluigi Pinball R'}"
530,32,Shy Guy (Gold),2,5,0.4,"{""GBA Bowser's Castle 1R/T"", '3DS Neo Bowser City R/T', 'Wii Maple Treeway T', '3DS Rainbow Road T', 'MKT Ninja Hideaway R/T'}"
532,32,Baby Peach (Cherub),2,5,0.4,"{'SNES Choco Island 1T', 'GCN Yoshi Circuit R/T', 'N64 Frappe Snowland R/T', 'SNES Donut Plains 1R', 'RMX Rainbow Road 2T'}"
541,32,Daisy (Fairy),2,5,0.4,"{'RMX Choco Island 2', 'RMX Choco Island 1', ""DS Luigi's Mansion R/T"", 'GBA Sunset Wilds R', 'RMX Mario Circuit 1T'}"
536,32,Luigi (Lederhosen),2,4,0.5,"{'DS Waluigi Pinball T', ""DS Luigi's Mansion T"", 'SNES Mario Circuit 1', 'N64 Kalimari Desert R'}"
542,32,Penguin Luigi,2,4,0.5,"{""DS Luigi's Mansion R"", 'DS Waluigi Pinball R/T', ""3DS Rosalina's Ice World T"", 'DS DK Pass R'}"
543,32,White Yoshi,2,4,0.5,"{'N64 Frappe Snowland', 'SNES Mario Circuit 3R/T', 'N64 Royal Raceway R/T', '3DS Toad Circuit R'}"
527,32,Dixie Kong,2,3,0.6666666666666666,"{'N64 Royal Raceway', 'RMX Vanilla Lake 1R', 'SNES Donut Plains 1'}"
531,32,Bowser Jr.,2,3,0.6666666666666666,"{'3DS Neo Bowser City', ""GBA Bowser's Castle 1T"", 'SNES Vanilla Lake 1T'}"
533,32,Cat Toad,2,3,0.6666666666666666,"{'3DS Toad Circuit T', 'MKT Merry Mountain R', ""GBA Bowser's Castle 2R""}"
535,32,Mario (Happi),2,3,0.6666666666666666,"{'RMX Rainbow Road 1', '3DS Cheep Cheep Lagoon R/T', 'SNES Mario Circuit 2'}"
538,32,Metal Mario,2,3,0.6666666666666666,"{'SNES Rainbow Road T', 'SNES Rainbow Road', 'N64 Frappe Snowland R'}"
537,32,Mario (Swimwear),2,2,1.0,"{'SNES Koopa Troopa Beach 2R', 'SNES Mario Circuit 1R'}"
552,33,Shy Guy (Ninja),2,19,0.10526315789473684,"{'SNES Donut Plains 2T', 'N64 Choco Mountain R', '3DS Shy Guy Bazaar T', ""GBA Bowser's Castle 1R"", 'Wii DK Summit T', 'N64 Kalimari Desert T', '3DS Shy Guy Bazaar R/T', 'Wii DK Summit R', '3DS Neo Bowser City T', '3DS Neo Bowser City R', 'SNES Ghost Valley 1R/T', ""GBA Bowser's Castle 2"", 'SNES Choco Island 2T', 'N64 Frappe Snowland T', '3DS Shy Guy Bazaar R', 'RMX Choco Island 2T', ""GBA Bowser's Castle 1"", 'GBA Sunset Wilds', 'RMX Vanilla Lake 1'}"
547,33,King Bob-omb (Gold),2,15,0.13333333333333333,"{'DS Waluigi Pinball T', 'SNES Koopa Troopa Beach 2', 'SNES Ghost Valley 1R', 'SNES Choco Island 2R/T', 'N64 Choco Mountain T', 'RMX Rainbow Road 2R', 'DS Airship Fortress T', 'RMX Choco Island 2', 'DS Airship Fortress R/T', 'RMX Choco Island 2R', 'SNES Donut Plains 2', 'RMX Rainbow Road 2T', 'SNES Donut Plains 2R', ""GBA Bowser's Castle 2R/T"", 'SNES Vanilla Lake 1R/T'}"
546,33,King Boo (Gold),2,10,0.2,"{'SNES Rainbow Road R/T', 'SNES Choco Island 2', 'SNES Rainbow Road T', 'MKT Merry Mountain R', 'Wii Maple Treeway', 'SNES Vanilla Lake 1T', 'SNES Ghost Valley 1T', 'RMX Choco Island 1', 'SNES Koopa Troopa Beach 2R', 'Wii Maple Treeway R'}"
544,33,Dixie Kong,2,7,0.2857142857142857,"{'N64 Royal Raceway', '3DS Cheep Cheep Lagoon R', 'N64 Kalimari Desert 2', 'SNES Donut Plains 1', 'SNES Choco Island 1', 'RMX Vanilla Lake 1R', '3DS Cheep Cheep Lagoon'}"
545,33,Baby Mario (Koala),2,7,0.2857142857142857,"{'N64 Koopa Troopa Beach R', 'GCN Dino Dino Jungle R', 'Wii DK Summit', 'N64 Frappe Snowland R/T', 'GCN Dino Dino Jungle R/T', 'GBA Cheep-Cheep Island', 'GBA Cheep-Cheep Island R'}"
559,33,Penguin Luigi,2,7,0.2857142857142857,"{'SNES Mario Circuit 2R/T', '3DS Mario Circuit R/T', ""DS Luigi's Mansion R"", '3DS Rock Rock Mountain', '3DS Rainbow Road R/T', 'DS DK Pass R', 'MKT Merry Mountain'}"
555,33,Mario (Racing),2,6,0.3333333333333333,"{'3DS Toad Circuit T', 'SNES Mario Circuit 1R', 'N64 Royal Raceway T', 'SNES Mario Circuit 2T', '3DS Mario Circuit T', '3DS Mario Circuit'}"
557,33,Metal Mario,2,6,0.3333333333333333,"{'SNES Rainbow Road R', 'N64 Frappe Snowland R', 'SNES Vanilla Lake 1R', 'SNES Mario Circuit 2R', 'SNES Rainbow Road', 'DS DK Pass T'}"
554,33,Builder Luigi,2,5,0.4,"{'N64 Koopa Troopa Beach R/T', 'GCN Yoshi Circuit R/T', ""DS Luigi's Mansion R/T"", '3DS Cheep Cheep Lagoon R/T', 'GBA Sunset Wilds R/T'}"
558,33,Black Yoshi,2,5,0.4,"{'SNES Donut Plains 1R/T', '3DS Daisy Hills R/T', 'N64 Choco Mountain', 'SNES Ghost Valley 1', 'GCN Yoshi Circuit R'}"
548,33,Birdo (Black),2,4,0.5,"{'GBA Cheep-Cheep Island T', 'GBA Sunset Wilds R', 'RMX Vanilla Lake 1T', 'SNES Choco Island 2R'}"
549,33,Lakitu (Party Time),2,4,0.5,"{'SNES Mario Circuit 3R', 'MKT Merry Mountain T', 'N64 Kalimari Desert', ""GBA Bowser's Castle 2T""}"
550,33,Shy Guy (Gold),2,3,0.6666666666666666,"{'3DS Neo Bowser City R/T', ""GBA Bowser's Castle 1R/T"", 'SNES Choco Island 1R'}"
551,33,Dry Bowser (Gold),2,3,0.6666666666666666,"{""DS Luigi's Mansion T"", 'N64 Kalimari Desert R', 'RMX Rainbow Road 1'}"
553,33,Bowser,2,3,0.6666666666666666,"{'N64 Kalimari Desert R/T', ""GBA Bowser's Castle 1T"", ""GBA Bowser's Castle 2R""}"
556,33,Toad,2,3,0.6666666666666666,"{'SNES Mario Circuit 1T', 'SNES Donut Plains 1R', 'N64 Koopa Troopa Beach'}"
560,33,White Yoshi,2,3,0.6666666666666666,"{'N64 Frappe Snowland', 'SNES Mario Circuit 3', '3DS Cheep Cheep Lagoon T'}"
568,34,Shy Guy (Ninja),2,20,0.1,"{'SNES Donut Plains 2T', 'N64 Choco Mountain R', '3DS Shy Guy Bazaar T', ""GBA Bowser's Castle 1R"", 'Wii DK Summit T', 'N64 Kalimari Desert T', '3DS Shy Guy Bazaar R/T', 'Wii DK Summit R', '3DS Neo Bowser City T', 'SNES Ghost Valley 1R/T', ""GBA Bowser's Castle 2"", 'SNES Choco Island 2T', 'MKT Ninja Hideaway T', 'N64 Frappe Snowland T', '3DS Shy Guy Bazaar R', 'RMX Choco Island 2T', ""GBA Bowser's Castle 1"", 'MKT Ninja Hideaway', 'GBA Sunset Wilds', 'RMX Vanilla Lake 1'}"
563,34,Gold Koopa (Freerunning),2,15,0.13333333333333333,"{'N64 Koopa Troopa Beach R', 'GCN Dino Dino Jungle R', 'N64 Koopa Troopa Beach T', 'N64 Koopa Troopa Beach R/T', 'N64 Koopa Troopa Beach', 'GCN Dino Dino Jungle', '3DS Rainbow Road R/T', 'SNES Mario Circuit 1R/T', 'RMX Choco Island 2R', '3DS Mario Circuit T', '3DS Cheep Cheep Lagoon T', 'SNES Mario Circuit 2R/T', 'SNES Donut Plains 1T', '3DS Toad Circuit R/T', 'SNES Choco Island 1R'}"
564,34,King Boo (Gold),2,14,0.14285714285714285,"{'SNES Rainbow Road R/T', 'SNES Choco Island 2', 'SNES Rainbow Road T', 'MKT Merry Mountain R', 'N64 Kalimari Desert 2R', 'Wii Maple Treeway', 'DS Airship Fortress', 'SNES Vanilla Lake 1T', 'SNES Ghost Valley 1T', 'RMX Choco Island 1', 'N64 Kalimari Desert 2T', '3DS Rainbow Road', 'SNES Koopa Troopa Beach 2R', 'Wii Maple Treeway R'}"
562,34,Baby Mario (Koala),2,8,0.25,"{'SNES Mario Circuit 1', 'Wii DK Summit', 'RMX Choco Island 2', 'N64 Frappe Snowland R/T', 'GCN Dino Dino Jungle R/T', 'GBA Cheep-Cheep Island', 'GBA Cheep-Cheep Island R', 'SNES Mario Circuit 2'}"
574,34,Black Yoshi,2,8,0.25,"{'SNES Donut Plains 1R/T', 'N64 Choco Mountain', 'SNES Ghost Valley 1R', 'N64 Choco Mountain T', '3DS Rock Rock Mountain T', 'RMX Mario Circuit 1R/T', 'SNES Donut Plains 2R', 'GCN Yoshi Circuit R'}"
573,34,Metal Mario,2,7,0.2857142857142857,"{'SNES Rainbow Road R', 'SNES Vanilla Lake 1R', 'RMX Mario Circuit 1', 'SNES Mario Circuit 2R', '3DS Shy Guy Bazaar', 'SNES Rainbow Road', 'DS DK Pass T'}"
565,34,Birdo (Black),2,6,0.3333333333333333,"{'SNES Donut Plains 2R/T', 'SNES Choco Island 2R', 'GBA Sunset Wilds R', 'RMX Vanilla Lake 1T', 'SNES Donut Plains 2', 'RMX Rainbow Road 2T'}"
566,34,Lakitu (Party Time),2,6,0.3333333333333333,"{'N64 Kalimari Desert', 'SNES Mario Circuit 3R', 'RMX Rainbow Road 2R', 'GCN Yoshi Circuit T', 'MKT Merry Mountain T', 'SNES Mario Circuit 3T'}"
561,34,Dixie Kong,2,5,0.4,"{'RMX Choco Island 1R/T', 'N64 Kalimari Desert 2', 'SNES Donut Plains 1', 'SNES Choco Island 1', 'RMX Vanilla Lake 1R'}"
569,34,Peach (Vacation),2,5,0.4,"{'SNES Mario Circuit 3', 'SNES Mario Circuit 1R', '3DS Mario Circuit R', '3DS Mario Circuit', '3DS Toad Circuit R'}"
571,34,Peach (Halloween),2,5,0.4,"{'3DS Neo Bowser City R/T', 'N64 Royal Raceway T', 'SNES Mario Circuit 2T', 'N64 Frappe Snowland', 'N64 Royal Raceway R/T'}"
572,34,Builder Luigi,2,5,0.4,"{'DS Airship Fortress T', ""DS Luigi's Mansion R/T"", 'SNES Mario Circuit 3R/T', 'GBA Sunset Wilds R/T', 'SNES Vanilla Lake 1R/T'}"
575,34,Penguin Luigi,2,5,0.4,"{'SNES Koopa Troopa Beach 2', 'RMX Mario Circuit 1R', 'DS DK Pass', '3DS Rock Rock Mountain', 'DS DK Pass R'}"
567,34,Dry Bowser (Gold),2,4,0.5,"{'3DS Neo Bowser City', '3DS Rainbow Road T', 'N64 Kalimari Desert R', 'RMX Rainbow Road 1'}"
570,34,Builder Mario,2,3,0.6666666666666666,"{'3DS Toad Circuit T', ""GBA Bowser's Castle 1T"", 'SNES Mario Circuit 1T'}"
576,34,Fire Bro,2,3,0.6666666666666666,"{'SNES Donut Plains 1R', ""GBA Bowser's Castle 1R/T"", ""GBA Bowser's Castle 2R""}"
577,34,Birdo (Yellow),2,1,2.0,{'N64 Kalimari Desert R/T'}
584,35,Shy Guy (Ninja),2,20,0.1,"{'SNES Donut Plains 2T', 'DS Airship Fortress R', 'N64 Choco Mountain R', '3DS Shy Guy Bazaar T', 'Wii DK Summit T', 'N64 Kalimari Desert T', '3DS Shy Guy Bazaar R/T', 'MKT Ninja Hideaway R', '3DS Neo Bowser City T', 'Wii DK Summit R', '3DS Neo Bowser City R', 'SNES Choco Island 2T', 'MKT Ninja Hideaway T', ""DS Luigi's Mansion"", 'N64 Frappe Snowland T', '3DS Shy Guy Bazaar R', 'RMX Choco Island 2T', 'MKT Ninja Hideaway', 'GBA Sunset Wilds', 'RMX Vanilla Lake 1'}"
580,35,Dry Bones (Gold),2,16,0.125,"{""GBA Bowser's Castle 2R/T"", 'SNES Koopa Troopa Beach 2', 'RMX Rainbow Road 1R', ""GBA Bowser's Castle 1R/T"", 'SNES Vanilla Lake 1R/T', 'SNES Rainbow Road R', 'N64 Kalimari Desert 2R', '3DS Neo Bowser City R/T', '3DS Rainbow Road R/T', 'N64 Kalimari Desert 2', ""GBA Bowser's Castle 2T"", 'SNES Choco Island 1', 'SNES Ghost Valley 1', 'DS Airship Fortress R/T', 'SNES Rainbow Road', ""GBA Bowser's Castle 2R""}"
578,35,Mario (Hakama),2,12,0.16666666666666666,"{'SNES Mario Circuit 1', 'SNES Mario Circuit 3R', 'SNES Rainbow Road T', 'SNES Mario Circuit 1R', 'SNES Ghost Valley 1T', 'DS Waluigi Pinball', ""GBA Bowser's Castle 1T"", '3DS Mario Circuit T', 'SNES Mario Circuit 1T', 'DS Waluigi Pinball R', 'RMX Mario Circuit 1R/T', 'SNES Mario Circuit 2'}"
594,35,White Yoshi,2,8,0.25,"{'3DS Toad Circuit', 'SNES Mario Circuit 3', 'RMX Mario Circuit 1', 'N64 Frappe Snowland', '3DS Toad Circuit R/T', 'SNES Mario Circuit 3R/T', 'SNES Mario Circuit 3T', '3DS Toad Circuit R'}"
